data,Russia,South Africa,Peru,Mexico,Colombia,Chile,Spain,data,US,Brazil,India
1/22/20,0,0,0,0,0,0,0,1/22/20,1,0,0
1/23/20,0,0,0,0,0,0,0,1/23/20,1,0,0
1/24/20,0,0,0,0,0,0,0,1/24/20,2,0,0
1/25/20,0,0,0,0,0,0,0,1/25/20,2,0,0
1/26/20,0,0,0,0,0,0,0,1/26/20,5,0,0
1/27/20,0,0,0,0,0,0,0,1/27/20,5,0,0
1/28/20,0,0,0,0,0,0,0,1/28/20,5,0,0
1/29/20,0,0,0,0,0,0,0,1/29/20,5,0,0
1/30/20,0,0,0,0,0,0,0,1/30/20,5,0,1
1/31/20,2,0,0,0,0,0,0,1/31/20,7,0,1
2/1/20,2,0,0,0,0,0,1,2/1/20,8,0,1
2/2/20,2,0,0,0,0,0,1,2/2/20,8,0,2
2/3/20,2,0,0,0,0,0,1,2/3/20,11,0,3
2/4/20,2,0,0,0,0,0,1,2/4/20,11,0,3
2/5/20,2,0,0,0,0,0,1,2/5/20,11,0,3
2/6/20,2,0,0,0,0,0,1,2/6/20,11,0,3
2/7/20,2,0,0,0,0,0,1,2/7/20,11,0,3
2/8/20,2,0,0,0,0,0,1,2/8/20,11,0,3
2/9/20,2,0,0,0,0,0,2,2/9/20,11,0,3
2/10/20,2,0,0,0,0,0,2,2/10/20,11,0,3
2/11/20,2,0,0,0,0,0,2,2/11/20,12,0,3
2/12/20,2,0,0,0,0,0,2,2/12/20,12,0,3
2/13/20,2,0,0,0,0,0,2,2/13/20,13,0,3
2/14/20,2,0,0,0,0,0,2,2/14/20,13,0,3
2/15/20,2,0,0,0,0,0,2,2/15/20,13,0,3
2/16/20,2,0,0,0,0,0,2,2/16/20,13,0,3
2/17/20,2,0,0,0,0,0,2,2/17/20,13,0,3
2/18/20,2,0,0,0,0,0,2,2/18/20,13,0,3
2/19/20,2,0,0,0,0,0,2,2/19/20,13,0,3
2/20/20,2,0,0,0,0,0,2,2/20/20,13,0,3
2/21/20,2,0,0,0,0,0,2,2/21/20,15,0,3
2/22/20,2,0,0,0,0,0,2,2/22/20,15,0,3
2/23/20,2,0,0,0,0,2,2,2/23/20,15,0,3
2/24/20,2,0,0,0,0,2,2,2/24/20,15,0,3
2/25/20,2,0,0,0,0,2,6,2/25/20,15,0,3
2/26/20,2,0,0,0,0,2,13,2/26/20,15,1,3
2/27/20,2,0,0,0,0,2,15,2/27/20,16,1,3
2/28/20,2,0,0,1,0,2,32,2/28/20,16,1,3
2/29/20,2,0,0,4,0,2,45,2/29/20,24,2,3
3/1/20,2,0,0,5,0,9,84,3/1/20,30,2,3
3/2/20,3,0,0,5,0,9,120,3/2/20,53,2,5
3/3/20,3,0,0,5,0,10,165,3/3/20,73,2,5
3/4/20,3,0,0,5,0,10,222,3/4/20,104,4,28
3/5/20,4,1,0,5,0,13,259,3/5/20,174,4,30
3/6/20,13,1,1,6,1,13,400,3/6/20,222,13,31
3/7/20,13,1,1,6,1,13,500,3/7/20,337,13,34
3/8/20,17,3,6,7,1,20,673,3/8/20,451,20,39
3/9/20,17,3,7,7,1,20,1073,3/9/20,519,25,43
3/10/20,20,7,11,7,3,25,1695,3/10/20,711,31,56
3/11/20,20,13,11,8,9,35,2277,3/11/20,1109,38,62
3/12/20,28,17,15,12,9,35,2277,3/12/20,1561,52,73
